date,stock,title,content
2010-01-20,EBAY,eBay (NASDAQ:EBAY): Q4 EPS of $0.44 beats by $0.04. Revenue of $2.4B (+16%) vs. $2.3B. Payments...,eBay (NASDAQ:EBAY): Q4 EPS of $0.44 beats by $0.04. Revenue of $2.4B (+16%) vs. $2.3B. Payments business unit grows revenue 28%; Marketplaces unit +15%. Sees 2010 EPS of $1.63-1.68 vs. $1.60. Shares +0.9% AH. (PR)
2010-01-20,EBAY,"Notable earnings after Wednesday's close: EBAY, LOGI, SBUX, SLM, STX, SWKS, TSS, XLNX","Notable earnings after Wednesday's close: EBAY, LOGI, SBUX, SLM, STX, SWKS, TSS, XLNX"
2010-01-21,EBAY,Premarket gainers: IMMU +12%. STX +11%. CYTR +9%. EBAY +9%. PLXS +8%. FCS +7%. FITB +6%. FFIV...,"Premarket gainers: IMMU
+12%. STX
+11%. CYTR
+9%. EBAY
+9%. PLXS
+8%. FCS
+7%. FITB
+6%. FFIV
+4%. KEY
+4%. SNE
+4%.Losers: ISPH
-15%. SVA
-8%. GRMN
-7%. BCS
-4%. RTP
-4%. RBS
-4%."
2010-03-17,EBAY,EBay's (NASDAQ:EBAY) PayPal plans to partner with China's largest electronic-payment service...,EBay's (NASDAQ:EBAY) PayPal plans to partner with China's largest electronic-payment service provider to allow Chinese consumers to shop from and make payments to overseas merchants.
2010-03-25,EBAY,EBay shares (EBAY +3.7%) hit a 52-week high after a Credit Suisse upgrade based on prospects for...,"EBay shares (EBAY
+3.7%) hit a 52-week high after a Credit Suisse upgrade based on prospects for PayPal: ""We have increased our long-run profit margin assumptions for PayPal, which we now expect to reach 26.5% by 2015 vs. 18% in 2010."""
2010-03-29,EBAY,"EBay (EBAY -0.8%) will launch ""flash sales"" of Hugo Boss, DKNY and other high-end fashion brands...","EBay (EBAY
-0.8%) will launch ""flash sales"" of Hugo Boss, DKNY and other high-end fashion brands at discounts of 50% or more, beginning this fall. The move is a departure for eBay, which generally bills itself as a neutral third-party marketplace anyone can join."
2010-04-01,EBAY,Tiffany (TIF +1.0%) may appeal to the U.S. Supreme Court an appeals court decision allowing eBay...,"Tiffany (TIF
+1.0%) may appeal to the U.S. Supreme Court an appeals court decision allowing eBay (EBAY
-1.4%) to ""continue to sell counterfeit Tiffany products"" on its website. While the decision leaves room to establish Tiffany's claims for false advertising, it leaves in place a prior ruling which allows eBay to profit from counterfeit sales. (PR)"
2010-04-20,EBAY,The Supreme Court agrees to rule on whether Costco (NASDAQ:COST) can be held liable for...,"The Supreme Court agrees to rule on whether Costco (NASDAQ:COST) can be held liable for copyright infringement for reselling luxury Swiss watches obtained through third-parties. The case will be closely watched by retailers such as eBay (NASDAQ:EBAY), Target (NYSE:TGT) and Amazon (NASDAQ:AMZN)."
2010-04-21,EBAY,"Notable earnings after Wednesday's close: ACF, ADS, AFFX, AMGN, CPX, CTXS, CVA, CYH, EBAY, ETFC,...","Notable earnings after Wednesday's close: ACF, ADS, AFFX, AMGN, CPX, CTXS, CVA, CYH, EBAY, ETFC, FFIV, FNF, HCBK, ISIL, LEG, LRCX, MEE, NE, NFLX, NVLS-OLD, PLCM, PTV, QCOM, SBUX, SLM, SNDK, TER, TEX, URI, VRTX"
2010-04-21,EBAY,eBay (NASDAQ:EBAY): Q1 EPS of $0.42 beats by $0.01. Revenue of $2.2B (+8.7%) in-line. Sees Q2...,eBay (NASDAQ:EBAY): Q1 EPS of $0.42 beats by $0.01. Revenue of $2.2B (+8.7%) in-line. Sees Q2 EPS of $0.37-0.39 vs. $0.40 consensus. Shares -6% AH. (PR)
2010-04-27,EBAY,"U.S. internet usage climbed 7.6% in March from February, according to Nielsen's latest survey....","U.S. internet usage climbed 7.6% in March from February, according to Nielsen's latest survey. eBay (NASDAQ:EBAY), AOL Inc. (NYSE:AOL), and Yahoo (YHOO) were the biggest gainers on time spent per person, but Facebook rules in overall time spent with an average 7 hours/month - almost 5.5 hours more than its closest competitor."
2010-05-06,EBAY,"Keep an eye on internet providers (CMCSA, T) and internet firms (AMZN, EBAY, GOOG) today as FCC...","Keep an eye on internet providers (CMCSA, T) and internet firms (AMZN, EBAY, GOOG) today as FCC Chairman Julius Genachowski prepares to outline net neutrality rules."
2010-05-13,EBAY,Premarket gainers: SY +15%. OTC:PUDA +15%. TGB +10%. NNA +9%. WFMI +6%. DVAX +6%. RNN +5%. IMMU...,"Premarket gainers: SY
+15%. OTC:PUDA
+15%. TGB
+10%. NNA
+9%. WFMI +6%. DVAX
+6%. RNN
+5%. IMMU
+4%. EBAY
+4%. CLNE
+4%.Losers: RAS -9%. RPT -8%. AGEN -5%. VNR -5%. IRE -4%. WES -4%."
2010-06-12,EBAY,"It took until the last hectic half-hour of bidding, but the eBay-auctioned (NASDAQ:EBAY) lunch...","It took until the last hectic half-hour of bidding, but the eBay-auctioned (NASDAQ:EBAY) lunch with Warren Buffett drew a record $2.6M bid."
2010-07-09,EBAY,"Google (GOOG +2.3%) fought to stay in China because of the country's obvious growth potential,...","Google (GOOG
+2.3%) fought to stay in China because of the country's obvious growth potential, and firms that got out of the country earlier, such as eBay (NASDAQ:EBAY) and Yahoo (YHOO), haven't been able to regain a foothold. But many observers say Google wimped out, providing China with a crippled search engine that effectively censors not just objectionable web pages but just about everything."
2010-07-12,EBAY,Microsoft (MSFT +2.2%) shares on the move after CEO Steve Ballmer touts the company's new...,"Microsoft (MSFT
+2.2%) shares on the move after CEO Steve Ballmer touts the company's new Windows tablet devices, saying new tablets running Windows 7 are in development from Acer, Dell (DELL-OLD), Samsung, Toshiba (OTCPK:TOSBF) and Sony (NYSE:SNE). Also confirmed: eBay (NASDAQ:EBAY), Hewlett-Packard (NYSE:HPQ) and Dell are testing the new Windows Azure cloud-computing app."
2010-07-21,EBAY,eBay (NASDAQ:EBAY): Q2 EPS of $0.40 beats by $0.02. Revenue of $2.2B (+5.6%) in-line. Shares...,eBay (NASDAQ:EBAY): Q2 EPS of $0.40 beats by $0.02. Revenue of $2.2B (+5.6%) in-line. Shares +2.4% AH. (PR)
2010-07-21,EBAY,"Notable earnings after Wednesday's close: ADS, AMLN, BIDU, CA, DOX, EBAY, FFIV, FNF, ISIL, NFLX,...","Notable earnings after Wednesday's close:  ADS,  AMLN,  BIDU,  CA,  DOX,  EBAY,  FFIV,  FNF,  ISIL,  NFLX,  QCOM,  RHI,  SBUX,  TEX,  TSS,  WDC,  XLNX"
2010-07-22,EBAY,Premarket gainers: CYTR +31%. ACF +22%. FFIV +8%. RCL +7%. XRX +7%. NBG +7%. QCOM +6%. NOK +6%....,"Premarket gainers: CYTR
+31%. ACF
+22%. FFIV
+8%. RCL
+7%. XRX
+7%. NBG +7%. QCOM
+6%. NOK
+6%. ABB
+5%. BCS
+5%. STI
+5%. BIDU
+5%. MT
+5%. STD +5%. LDK
+5%. JBLU
+5%. CCL
+4%. ALU +4%. LYG
+4%. IRE
+4%. UPS
+4%. SOLF +4%. EBAY
+4%. HBAN
+4%. JASO
+4%. DB
+4%. ERIC
+4%.Losers: MLNX
-22%. SWI
-17%. NFLX
-8%. SYT
-6%. ISRG
-4%."
2010-08-12,EBAY,"Citigroup upgrades eBay (NASDAQ:EBAY) to Buy from Hold. Shares +1.65%, marking one of the only...","Citigroup upgrades eBay (NASDAQ:EBAY) to Buy from Hold. Shares +1.65%, marking one of the only tech bright spots this morning."
2010-08-13,EBAY,"PayPal (NASDAQ:EBAY) is betting on online micropayments, with plans to make it easier for...","PayPal (NASDAQ:EBAY) is betting on online micropayments, with plans to make it easier for consumers to buy anything from access to a single news article to a virtual item in a video game. The payment platform should be up and running by the end of the year."
2010-08-27,EBAY,Paul Allen sues 11 companies for violating patents developed at his Silicon Valley lab: Apple...,"Paul Allen sues 11 companies for violating patents developed at his Silicon Valley lab: Apple (NASDAQ:AAPL), Google (NASDAQ:GOOG), Yahoo (YHOO), AOL, eBay (NASDAQ:EBAY), Netflix (NASDAQ:NFLX), Office Depot (NYSE:ODP), OfficeMax (NYSE:OMX), Staples (NASDAQ:SPLS), Facebook and Google's YouTube subsidiary. Not named: Microsoft (NASDAQ:MSFT), Amazon (NASDAQ:AMZN)."
2010-09-10,EBAY,"A judge reinstated eBay’s (NASDAQ:EBAY) 28.4% stake in Craigslist, but allowed the...","A judge reinstated eBayâs (NASDAQ:EBAY) 28.4% stake in Craigslist, but allowed the classifieds site to keep eBay off its board. The mixed ruling gave no clear victory to either of the companies, whose relationship turned from cozy to competitive and ended up in court in 2008."
2010-09-21,EBAY,Shares of eBay (NASDAQ:EBAY) rise after the company says it expects Q3 results near the high end...,"Shares of eBay (NASDAQ:EBAY)  rise after the company says it expects Q3 results near the high  end of guidance provided in July, which called for revenue of $2.13B-$2.18B and EPS of $0.35-$0.37. The company also announces the departure of the President of its Marketplace unit. EBAY +1.2% AH. (PR)"
2010-09-22,EBAY,Premarket gainers: SEED +13%. BQI +8%. SAY +7%. PWER +4%. VVUS +5%.Losers: VICL -36%. ADBE -21%....,"Premarket gainers: SEED
+13%. BQI +8%. SAY
+7%. PWER
+4%. VVUS
+5%.Losers: VICL
-36%. ADBE
-21%. FUR
-8%. BIIB
-5%. EBAY
-5%. ELN
-4%. SQNM
-4%. HIG
-4%."
