date,stock,title,content,neg,neu,pos
2010-01-07,AZN,"AstraZeneca (NYSE:AZN) settles a U.S. patent dispute with Teva Pharmaceuticals (NYSE:TEVA),...","AstraZeneca (NYSE:AZN) settles a U.S. patent dispute with Teva Pharmaceuticals (NYSE:TEVA), protecting its top-selling heartburn drug Nexium from immediate generic competition. Similar to a previous deal with Ranbaxy, the agreement allows Teva to being marketing a generic version in May 2014.",0.026727089658379555,0.919697105884552,0.0535757951438427
2010-01-13,AZN,"Not much new in the Beige Book, but stocks have moved to intraday highs nonetheless. Healthcare...","Not much new in the Beige Book, but stocks have moved to intraday highs nonetheless. Healthcare stocks (PFE
+2.5%, MRK
+4.4%, AZN
+2.2%) are doing well. With an hour to go, the Dow +0.5% to 10,679; S&P 500 +0.8% to 1,145; Nasdaq +1.1% to 2,307. Crude -1.4%. Gold +0.7%.",0.030963674187660217,0.882527768611908,0.08650859445333481
2010-01-28,AZN,"AstraZeneca (AZN -5.8%) plans to cut more than 10,000 jobs over the next four years - that on...","AstraZeneca (AZN
-5.8%) plans to cut more than 10,000 jobs over the next four years - that on top of the 12,600 jobs it cut between 2007 and 2009. After a strong quarter, the company expects profits to drop, and hopes to save $1.9B a year, against a restructuring cost of $2B.",0.9190980792045593,0.05407976731657982,0.026822205632925034
2010-01-28,AZN,Premarket gainers: NFLX +21%. EK +18%. NOK +11%. ALGN +11%. SIGA +10%. OSK +8%. LIFE +7%. RCL...,"Premarket gainers: NFLX
+21%. EK
+18%. NOK
+11%. ALGN
+11%. SIGA
+10%. OSK
+8%. LIFE
+7%. RCL
+5%. STI
+5%. CAH
+4%. GMCR
+4%. MTL
+4%. ETFC
+4%. HBAN
+4%.Losers: KSP
-20%. TTEK
-15%. KEX
-10%. QCOM
-9%. LSI-OLD
-8%. MOT
-5%. POT
-5%. AZN
-4%. NBG
-4%.",0.042263250797986984,0.9104607105255127,0.04727603495121002
2010-02-02,AZN,AstraZeneca (NYSE:AZN) and GlaxoSmithKline (NYSE:GSK) are laying off again - just symptoms of...,"AstraZeneca (NYSE:AZN) and GlaxoSmithKline (NYSE:GSK) are laying off again - just symptoms of what is a vile start to 2010 for big pharma, says Derek Lowe. And not only aren't industry problems going away, but it looks like new ideas for business models aren't anywhere close, either. (ETFs: IXJ, IYH)",0.06493063271045685,0.9090964794158936,0.025972850620746613
2010-02-09,AZN,"AstraZeneca (AZN +2.9%) gets FDA approval for an expanded label for its heart drug Crestor, but...","AstraZeneca (AZN
+2.9%) gets FDA approval for an expanded label for its heart drug Crestor, but the drug's future remains uncertain ahead of a key patent trial this month.",0.04873685538768768,0.914412796497345,0.036850377917289734
2010-02-16,AZN,AstraZeneca (NYSE:AZN) buys the rights to a rheumatoid arthritis drug from Rigel Pharmaceuticals...,"AstraZeneca (NYSE:AZN) buys the rights to a rheumatoid arthritis drug from Rigel Pharmaceuticals (NASDAQ:RIGL) in a deal potentially worth up to $1.245B. AstraZeneca is betting the drug will succeed in Phase III tests, despite one Phase II failure last July.",0.019192108884453773,0.9089308381080627,0.07187703251838684
2010-02-23,AZN,AstraZeneca (AZN +0.4%) pays £505M ($783M) to settle a tax dispute with U.K. regulators....,"AstraZeneca (AZN
+0.4%) pays Â£505M ($783M) to settle a tax dispute with U.K. regulators. As a result, it's raising its 2010 outlook to core earnings per share of $5.90-6.30, up from $5.75-6.15.",0.038985226303339005,0.8655684590339661,0.09544635564088821
2010-03-22,AZN,"Market Preview: Following heavy losses in Asia and Europe, futures indicate a weak open, with...","Market Preview: Following heavy losses in Asia and Europe, futures indicate a weak open, with benchmark S&P -0.7%. Yesterday's approval of sweeping healthcare legislation is lifting drugmakers (PFE
+0.35%, AZN
+1.7%) but giving insurers some pause (WLP -0.3%, HUM
-1%).",0.6773408055305481,0.27729761600494385,0.04536154866218567
2010-04-27,AZN,AstraZeneca (AZN -2.5%) will pay $520M to settle charges that it marketed its schizophrenia drug...,"AstraZeneca (AZN
-2.5%) will pay $520M to settle charges that it marketed its schizophrenia drug Seroquel for uses unapproved by the FDA - including for treatment of Alzheimer's disease, anxiety, dementia, depression and post-traumatic stress disorder - spurring unauthorized claims to pay for the drug.",0.08990620821714401,0.8755325675010681,0.034561190754175186
2010-04-29,AZN,"Notable earnings before Thursday's open: AEP, AET, APA, ARTG, AVT, AZN, BC, BDX, BG, BKC-OLD,...","Notable earnings before Thursday's open: AEP, AET, APA, ARTG, AVT, AZN, BC, BDX, BG, BKC-OLD, BMY, BWA, CAH, CAM, CELG, CL, CLI, CNX, COP, CXG, D, EK, ETR, FO, GTI, HERO, HOT, HLX, HP, IMAX, IP, IPG, IRM, K, KBR, LINE, LOGI, MFA, MJN, MOT, MT, MYL, NBL, NIHD, OMX, OSK, OXY, PDE, PG, POT, PRGO, PTEN, RAI, SPR, SWY, TEN, TWC, VIA.B, WM, WY, XEL, XOM, XRAY",0.07148455828428268,0.8826653361320496,0.045850060880184174
2010-04-30,AZN,Pozen (POZN +21.2%) shares spike after the FDA approves its new Vimovo arthritis medication...,"Pozen (POZN
+21.2%) shares spike after the FDA approves its new Vimovo arthritis medication co-developed with AstraZeneca (AZN
+0.3%).",0.018482763320207596,0.9308748841285706,0.05064235255122185
2010-06-24,AZN,The FDA approves Merck's (NYSE:MRK) asthma treatment drug. Dulera could become a viable...,"The FDA approves Merck's (NYSE:MRK) asthma treatment drug. Dulera could become a viable competitor for GlaxoSmithKline's (GSK
+0.2%) Advair and AstraZeneca's (AZN
-0.5%) Symbicort.",0.015058907680213451,0.9173797965049744,0.06756126880645752
2010-08-09,AZN,AstraZeneca (NYSE:AZN) reaches an agreement in principle to settle U.S. product liability...,AstraZeneca (NYSE:AZN) reaches an agreement in principle to settle U.S. product liability litigation over its Seroquel antipsychotic drug for around $198M. The agreement's terms are confidential but are not expected to affect expected 2010 EPS of $6.35-6.65. Shares +0.5%. (PR),0.028545595705509186,0.9188244342803955,0.05263000354170799
2010-08-30,AZN,"AstraZeneca (NYSE:AZN) gets a second FDA request for information on its drug motavizumab,...","AstraZeneca (NYSE:AZN) gets a second FDA request for information on its drug motavizumab, designed to prevent certain serious respiratory diseases. The company says it has $445M in assets related to the drug which may be subject to impairments.",0.01655089296400547,0.923906683921814,0.059542372822761536
